식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
더덕구이,100,184.0,31.1,3.1,5.2,11.6,743.37,0.12,0.8,0.0
도미구이,250,397.0,2.1,61.1,16.5,0.0,1582.17,211.24,3.8,0.1
돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7,0.1
병어구이,250,488.0,0.2,54.6,30.8,0.0,1567.94,198.51,8.9,0.2
붕장어소금구이,100,296.54,11.6,26.0,16.2,0.4,124.75,167.07,3.6,0.2
임연수구이,250,494.0,3.5,53.8,29.4,0.0,1568.96,212.61,6.1,1.7
소고기미역국,650,151.0,7.7,18.1,5.3,0.0,1908.91,42.18,2.0,0.1
순대국,800,540.3,17.26,43.52,33.02,0.0,1504.04,246.0,10.98,0.16
홍합미역국,650,167.0,11.6,19.7,4.7,0.0,2043.68,58.4,0.9,0.0
고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0.0
열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0.0
미나리나물,50,29.53,2.24,1.02,1.83,0.0,150.33,0.0,0.25,0.01
취나물,50,74.1,3.31,1.38,6.15,0.0,281.86,0.0,0.84,0.03
콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0.0,0.22,0.01
경단(깨),100,319.47,74.22,4.44,0.54,26.64,180.0,0.0,0.46,0.0
경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0.0,0.19,0.0
기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0.0,0.13,0.0
녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0.0,0.52,0.0
메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05,1.19,0.04
무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0.0,0.16,0.0
송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0.0,0.48,0.0
송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0.0,0.24,0.0
수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261.0,0.0,0.97,0.03
수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0.0,0.17,0.0
쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0.0,0.2,0.0
절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03,0.19,0.0
찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0.0,0.15,0.0
골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35,0.26,0.02
단무지무침,50,20.0,2.8,0.5,0.8,0.7,428.92,0.0,0.1,0.0
도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0.0,0.03,0.0
쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57,0.19,0.01
탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24,0.73,0.03
고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45,0.01
곤드레나물밥,350,521.83,98.9,10.3,9.5,0.0,90.62,0.0,0.9,0.0
돼지국밥,1200,911.4,74.7,66.4,38.6,0.0,1096.58,142.55,8.4,0.2
숯불갈비 삼각김밥,100,161.24,32.55,4.0,1.67,0.17,358.36,4.04,0.53,0.02
참치마요네즈 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
버터크림빵,60,229.96,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
채소고로케,100,300.65,31.19,7.13,16.38,3.37,403.33,41.9,3.59,0.15
초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170.0,50.84,14.4,0.38
치즈케이크,100,329.15,28.64,7.23,20.63,15.28,200.67,126.78,10.99,0.61
페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
간장마늘쫑장아찌,50,30.0,5.4,1.0,0.5,3.9,813.64,0.0,0.0,0.0
고추장마늘쫑장아찌,50,55.0,10.5,1.3,0.9,5.6,707.34,0.0,0.1,0.0
매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0.0,0.02,0.0
무장아찌,30,23.92,5.03,0.44,0.23,2.89,879.81,0.04,0.01,0.0
계적,250,488.08,0.0,57.72,30.43,0.0,210.11,169.21,8.09,0.24
낙지꼬지,80,75.35,2.83,13.14,1.28,0.0,207.07,133.75,0.14,0.01
돔베기적,100,159.49,0.0,30.08,7.42,0.0,451.25,64.23,0.6,0.03
소고기산적,200,453.08,7.33,48.41,25.57,0.0,1392.84,134.83,7.06,0.87
소라산적,80,120.1,6.45,17.92,2.51,0.85,396.68,100.34,0.38,0.02
오징어산적,80,101.71,3.6,17.38,1.98,0.92,477.11,234.25,0.28,0.0
홍어적,100,89.15,0.0,23.59,0.66,0.28,323.53,96.77,0.12,0.0
홍합산적,80,156.67,10.58,17.78,4.8,3.34,719.72,60.72,0.83,0.04
굴전,100,195.0,14.5,10.6,10.5,1.3,325.7,96.88,2.1,0.1
녹두빈대떡,100,207.94,20.93,7.95,10.27,0.1,232.05,12.48,2.26,0.06
야채전,100,194.0,21.6,5.4,9.5,2.4,321.52,43.15,2.1,0.1
햄부침,100,244.0,11.3,11.3,17.1,1.0,715.66,72.11,4.4,0.1
호박부침개,100,129.0,10.1,3.9,8.1,3.6,174.33,52.48,1.7,0.1
고추조림,100,111.0,13.4,3.3,4.9,7.1,779.1,7.09,0.7,0.0
돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0.01
북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52,0.45,0.02
백합죽,700,455.28,84.7,16.5,5.6,0.0,996.8,32.1,1.3,0.0
도미찜,100,125.51,0.54,23.0,3.49,0.0,839.96,99.01,0.91,0.02
문어숙회,80,66.91,0.73,14.86,0.51,0.0,208.33,140.11,0.12,0.0
민어찜,100,136.88,0.0,21.47,5.91,0.0,1089.44,97.77,1.67,0.04
병어찜,100,179.69,0.16,18.86,11.52,0.0,650.98,71.92,3.59,0.06
전어찜,100,278.22,0.6,17.28,22.97,0.0,447.4,97.88,6.8,0.13
조기찜,100,182.12,1.64,20.06,10.59,0.0,602.03,138.43,2.85,0.08
참꼬막,80,90.79,4.59,12.47,2.5,0.0,234.16,65.03,0.38,0.02
어탕,150,85.87,1.82,12.7,3.09,0.0,485.08,52.57,0.44,0.01
육탕,150,87.63,0.35,12.66,3.95,0.0,356.94,43.79,1.71,0.18
추어탕,1000,316.72,26.8,22.7,13.2,0.0,2635.78,90.31,1.9,0.0
고추튀김,100,202.0,14.6,7.6,12.6,2.3,249.15,35.91,2.7,0.1
미꾸라지튀김,100,387.49,28.86,10.89,25.39,0.3,324.47,50.15,3.89,0.15
쥐포튀김,100,356.91,42.5,9.62,16.49,7.96,717.03,28.7,2.29,0.1
대구포,100,140.84,2.34,31.97,0.4,0.0,3875.95,107.15,0.17,0.0
북어포,20,66.46,0.32,15.42,0.39,0.22,128.99,85.03,0.13,0.0
매작과,30,123.86,19.83,2.25,3.95,4.93,29.83,10.03,0.7,0.03
산자,30,109.71,24.65,0.69,0.93,9.4,6.86,0.0,0.03,0.0
송화다식,30,110.83,22.19,2.49,1.35,8.0,4.04,0.0,0.27,0.0
약과,30,119.73,25.47,1.26,1.43,5.07,17.19,0.0,0.37,0.01
유과,30,127.09,22.27,0.84,3.85,7.24,6.84,0.0,0.41,0.01
직화 스테이크(나폴리M),100,240.0,,12.0,,4.0,497.0,,4.0,
치즈가든(씬 L),100,209.0,,9.0,,3.0,338.0,,3.0,
프레시 콘샐러드,100,133.0,,1.0,,9.0,158.0,,4.0,
프렌치 라따뚜이,100,135.0,,2.0,,11.0,315.0,,4.0,
쉬림프올인(클래식)L,100,207.0,,12.0,,3.0,330.0,,2.4,
콘샐러드,100,100.0,,2.0,,7.0,272.0,,1.0,
코울슬로,100,87.0,,1.0,,10.0,204.0,,1.0,
리치치즈파스타,366,690.0,,24.0,,0.0,930.0,,11.0,
그뤼에르 퐁듀소스,60,106.0,,3.0,,0.0,250.0,,1.0,
치즈크러스트 디핑소스,11,60.0,,0.0,,0.0,58.0,,1.0,
핫소스,2,1.0,,0.0,,0.0,12.0,,0.0,
바른생피클 M,70,55.0,,0.0,,11.0,5.0,,0.0,
러블리피스 크림치즈R,100,253.0,,12.0,,7.0,411.0,,5.0,
고르곤졸라L,100,275.0,,15.0,,3.0,419.0,,8.0,
치즈추가(샌드),30,94.0,,8.0,,0.0,133.0,,4.0,
핫윙(4ea),148,252.0,,22.0,,0.0,903.0,,4.0,
핫윙(8ea),296,503.0,,45.0,,0.0,1806.0,,9.0,
1회용 피클,75,52.0,,0.0,,12.0,270.0,,0.0,
1회용 갈릭디핑소스,10,52.0,,0.0,,0.0,32.0,,1.0,
1회용 핫소스,4,1.0,,0.0,,0.0,81.0,,0.0,
허니머스타드소스,12,29.0,,0.0,,1.0,68.0,,0.0,
전주불백피자R,85,1495.0,,85.0,,22.0,2200.0,,22.0,
전주불백피자L,93,2435.0,,116.0,,38.0,3740.0,,37.0,
꿈을피자R,91,230.0,,15.0,,1.0,350.0,,5.0,
꿈을피자L,57,135.0,,9.0,,0.7,210.0,,3.0,
부산피자R,92,185.0,,15.0,,3.0,350.0,,4.3,
부산피자L,95,205.0,,13.0,,2.0,350.0,,4.8,
쉬림프&핫치킨골드피자R,97,230.0,,13.0,,2.0,460.0,,4.0,
쉬림프&핫치킨골드피자L,96,225.0,,13.0,,2.0,450.0,,4.0,
단호박골드피자R,99,240.0,,9.0,,2.0,290.0,,4.0,
어깨피자R,20,55.0,,3.0,,1.0,80.0,,1.0,
어깨피자L,29,80.0,,5.0,,1.0,120.0,,2.0,
단호박피자R,87,215.0,,7.0,,0.9,240.0,,3.0,
단호박피자L,93,230.0,,8.0,,1.0,260.0,,3.0,
콤비네이션피자R,75,180.0,,9.0,,0.8,310.0,,3.0,
콤비네이션피자L,72,175.0,,9.0,,0.9,300.0,,3.0,
고구마골드피자R,100,235.0,,9.0,,7.0,280.0,,3.0,
목동피자R,39,95.0,,4.0,,1.0,140.0,,2.3,
목동피자L,65,155.0,,8.0,,2.0,200.0,,3.8,
고르곤졸라R,34,110.0,,8.0,,0.5,75.0,,3.0,
고르곤졸라L,34,80.0,,7.0,,1.0,170.0,,2.0,
포테이토피자R,82,185.0,,8.0,,2.0,290.0,,3.0,
베이컨체다치즈피자R,72,184.0,,11.0,,2.0,300.0,,4.0,
베이컨체다치즈피자L,73,185.0,,11.0,,2.0,300.0,,4.0,
불고기피자R,66,155.0,,7.0,,0.3,230.0,,2.0,
불고기피자L,70,165.0,,8.0,,0.4,250.0,,3.0,
야채피자R,70,155.0,,8.0,,4.0,170.0,,2.0,
야채피자L,70,155.0,,8.0,,4.0,170.0,,2.0,
하와이안피자R,70,170.0,,7.0,,4.0,260.0,,3.0,
하와이안피자L,74,180.0,,8.0,,4.0,280.0,,3.0,
페페로니피자R,53,155.0,,7.0,,2.0,250.0,,3.0,
페페로니피자L,58,170.0,,8.0,,2.0,270.0,,3.0,
치즈피자R,57,155.0,,10.0,,2.0,190.0,,3.0,
치즈피자L,61,165.0,,10.0,,2.0,210.0,,4.0,
고구마피자R,92,230.0,,8.0,,4.0,300.0,,3.0,
고구마피자L,93,235.0,,8.0,,4.0,300.0,,3.0,
핫&스파이시치킨피자R,77,185.0,,9.0,,3.0,330.0,,3.0,
핫&스파이시치킨피자L,77,185.0,,9.0,,3.0,330.0,,3.0,
콰트로포르마지오R,66,200.0,,11.0,,2.0,360.0,,4.0,
콰트로포르마지오L,62,190.0,,11.0,,2.0,340.0,,4.0,
쉬림프&안심골드피자R,97,215.0,,14.0,,1.0,400.0,,4.0,
쉬림프&안심골드피자L,96,215.0,,14.0,,1.0,400.0,,4.0,
바게트스틱,85,330.0,,5.0,,11.0,230.0,,10.0,
콘치즈그라탕 R,95,365.0,,13.0,,5.0,260.0,,19.0,
토핑들의 수다L,94,203.0,,9.0,,5.0,311.0,,4.0,
슈프림콤비L,100,240.0,,11.0,,6.0,277.0,,3.0,
페페로니M,100,282.0,,15.0,,6.0,387.0,,7.0,
